id;age;weight;height;sex
1;101,56;23,1;154;M
2;63,95;24;128;M
3;75,65;19,2;119;F
4;76,14;22;126;F
5;76,7;19,5;118;F
6;75,52;20;119;F
7;77,49;17;109;F
8;71,64;21,4;122;F
9;77,85;24;128;M
10;73,32;25;129;M
11;73,15;21,5;120;F
12;72,16;24,5;127;M
13;74,17;23,5;124;M
14;76,67;22;119;F
15;71,28;22;119;M
16;73,64;24,5;122;F
17;71,28;22,5;117;F
18;75,48;24,6;122;M
19;76,73;20,5;111;M
20;75,81;32;136;F
21;75,58;25;120;M
22;74,63;27;121;F
23;76,83;27,5;121;M
24;76,24;33;130;M
25;76,24;40;137;M
26;88,64;20;125;M
27;85,18;20;127;F
28;82,32;19;120;F
29;88,7;19;118;M
30;86,47;21,3;123;M
31;85,61;21,3;123;M
32;78,02;28;142;F
33;86,73;21,4;122;M
34;88,83;21;120;M
35;88,31;24;128;F
36;81,6;24,2;128;M
37;89,85;23;124;M
38;84,66;21;119;F
39;86,01;21;118;M
40;79,17;21;118;M
41;82,29;21;117;M
42;88,18;26;130;F
43;78,12;20,5;116;F
44;87,42;26;130;F
45;82,03;20;114;M
46;78,54;23,5;124;F
47;80,75;25;127;M
48;82,16;21;116;M
49;82,06;24;124;M
50;88,87;26,9;130;M
51;82,06;23;120;M
52;79,07;28;132;M
53;83,18;27;129;M
54;82,59;23;119;M
55;82,09;28;131;M
56;82,98;21,3;114;M
57;81,07;24;121;M
58;87,02;28;130;M
59;79,73;27,5;129;F
60;80,65;24;120;F
61;82,65;18,5;105;F
62;78,21;31,7;138;M
63;83,74;29;130;F
64;78,67;28;127;F
65;87,42;29;128;F
66;80,81;30;132;M
67;86,89;33;136;F
68;88,77;29;127;F
69;89,69;29;128;M
70;87,48;30,5;130;F
71;82,19;34;136;M
72;85,41;29;123;F
73;88,21;31;128;M
74;87,02;31;128;M
75;89,59;34;131;F
76;81,76;33;129;F
77;83,9;38;137;F
78;83,05;29,3;123;M
79;80,02;32,5;130;M
80;86,4;40;134;F
81;79,59;38,2;135;M
82;83,01;43;141;M
83;84,13;47;139;M
84;92,71;14;115;F
85;93,8;19;127;F
86;94,32;19;125;F
87;93,24;24;133;F
88;95,18;28;141;M
89;93,83;17;110;F
90;91,82;25;132;M
91;90,21;27;135;M
92;92,94;19;113;F
93;92,58;25;128;F
94;91,46;25;128;F
95;91,89;25;128;F
96;90,05;26;130;M
97;93,34;23,8;124;M
98;91,59;24;125;F
99;90,18;20;114;F
100;95,74;24;122;F
101;90,54;25;125;F
102;97,35;24;121;M
103;91,76;30;135;M
104;91,79;24;120;F
105;94,09;30;133;M
106;95,67;27;126;M
107;91,99;26;124;M
108;101,88;27;125;M
109;99,98;30;131;M
110;99,65;30;128;F
111;90,18;32;132;F
112;94,22;35;135;F
113;92,88;33;131;F
114;92,12;31;128;M
115;97,64;32;126;F
116;92,71;32;127;M
117;90,58;34;126;F
118;89,98;36;133;M
119;90,48;37;134;M
120;99,98;38;129;F
121;101,56;45;142;M
122;99,58;46;142;M
123;90,97;47,5;132;F
124;106,78;29;136;F
125;103,1;24;123;M
126;102,87;28;133;F
127;103;22;117;M
128;105,96;31;138;M
129;112,87;27;126;F
130;105,27;27;126;F
131;106,26;26;123;M
132;107,15;30;130;M
133;102,28;28;126;M
134;108,07;28;125;M
135;113,36;30;127;M
136;107,84;31;128;F
137;103,89;34;132;F
138;110,6;37;138;M
139;110,24;33;128;M
140;107,97;41;137;F
141;105,3;39;135;M
142;111,52;34;124;M
143;102,54;37;130;M
144;102,97;51;148;M
145;105,7;45;135;M
146;108,56;52;135;F
147;104,28;46;132;M
148;108,79;54;136;M
149;113,26;56;132;M
150;122,14;35;142;F
151;119,77;31;135;M
152;125,03;33;130;F
153;120,43;35;131;F
154;121,94;28;115;M
155;120,13;50;144;F
156;115,36;48;133;M
157;135,65;37;156;M
158;131,84;30;138;F
159;134,89;35;148;F
160;132,92;35;148;F
161;130,85;31;140;M
162;133,94;40;154;F
163;136,18;36;142;F
164;137,69;45;157;F
165;131,97;38;143;F
166;136,8;38;140;F
167;134,24;40;133;F
168;126,02;37;127;M
169;131,74;45;131;F
170;137,33;73;155;F
171;140,84;30;140;F
172;145,94;32;143;F
173;138,71;32;141;F
174;146,83;38;151;F
175;140,38;37;149;F
176;148,6;39;150;F
177;139,2;36;145;F
178;145,51;45;155;M
179;144,49;43;150;M
180;148,6;52;163;M
181;138,41;50;155;F
182;147,72;50;151;F
183;138,05;54;150;F
184;148,5;65;160;F
185;140,78;58;153;M
186;141,5;57;150;M
187;145,18;77;159;M
188;143,24;87;160;F
189;158,83;38;162;F
190;161,79;38;159;M
191;158,24;36;151;F
192;156,82;38;156;M
193;161,29;42;162;F
194;154,52;38;156;M
195;154,39;37;151;M
196;159,35;43;160;F
197;158,47;40;150;M
198;153,04;49;167;M
199;152,02;40;149;F
200;151,17;47;161;M
201;153,6;49;163;M
202;155,38;48;156;F
203;157,48;53;161;F
204;152,78;50;157;F
205;155,9;59;168;F
206;150,58;50;154;F
207;159,98;52;152;F
208;156,23;66;169;M
209;156,39;70;165;F
210;161,65;75;167;M
211;165,99;39;162;M
212;164,02;45;170;F
213;167,57;46;171;M
214;165,01;43;161;M
215;172,8;43;158;F
216;164,35;49;170;F
217;167,08;44;159;F
218;166,75;49;169;M
219;165,01;50;171;M
220;162,77;36;145;M
221;165,76;53;175;M
222;172,14;44;156;F
223;171,65;56;175;F
224;172,8;46;158;F
225;163,79;58;181;M
226;173,82;53;168;F
227;165,53;46;160;M
228;172,44;47;158;F
229;170,66;56;172;F
230;171,29;54;169;M
231;164,35;48;159;F
232;170,2;53;165;F
233;165,24;50;163;M
234;170,7;50;161;M
235;171,81;58;171;M
236;170,7;57;169;M
237;172,44;57;168;M
238;168,62;58;170;M
239;165,57;49;154;F
240;167,47;59;167;M
241;169,97;55;157;M
242;166,98;57;160;M
243;169,94;59;160;M
244;168,36;68;169;M
245;172,34;79;164;F
246;179,05;46;167;F
247;174,81;44;158;M
248;184,83;59;179;M
249;178,75;51;165;F
250;174,44;55;162;F
251;175,33;53;159;M
252;174,77;54;157;F
253;177,57;67;171;M
254;180,07;67;170;M
255;181,81;70;170;F
256;176,81;60;158;F
257;196,27;52;170;M
258;188,25;45;160;F
259;188,22;65;159;F
260;198,87;51;165;M
261;74,96;16,6;112,55;M
262;69,4;16,3;111,85;F
263;73,84;18,4;118;F
264;75,62;16;109,45;F
265;77,59;20,4;120,9;M
266;77,85;19,5;118;F
267;77,26;21,4;122;F
268;77,75;17,3;108,8;M
269;75,12;20,6;119,5;F
270;75,06;21;120;F
271;74,24;19,7;115;M
272;73,51;36,8;156,5;M
273;74,96;20,5;117;F
274;77,92;21,1;118,2;F
275;77,65;20,5;116;F
276;75,52;26,1;130,5;M
277;73,55;22,6;119,9;F
278;74,86;19,1;109,6;M
279;77,19;23;120;M
280;76,9;24,1;122,05;F
281;76,24;22,4;117,95;M
282;77,42;21,3;114,5;M
283;75,09;20,5;111,85;F
284;73,64;20,8;112,45;M
285;75,62;24;120;F
286;69,3;25,4;123,85;M
287;74,83;25,3;121,95;F
288;74,89;21,8;113,15;F
289;74,89;27;125,55;M
290;75,19;28;121,35;F
291;77,65;27,5;121;M
292;77,85;23,8;110,3;F
293;77,59;29,3;123;M
294;76,93;33;130;M
295;77,33;36,1;126,8;F
296;81,93;17,9;119,6;M
297;86,3;16,2;115,45;F
298;87,52;20,4;127;F
299;83,67;19,9;125;F
300;88,9;19,3;122,5;F
301;85,64;19;120;F
302;83,21;22,1;127,05;M
303;83,38;18,5;115,45;M
304;86,27;18,6;117;F
305;80,75;19,2;119;F
306;80,42;18,7;116,05;M
307;83,44;18,4;116;F
308;80,28;21,1;122,9;M
309;82,95;19,7;118,3;M
310;83,67;21,5;123,5;M
311;87,39;17,3;110,55;M
312;89,59;24,7;131,95;M
313;88,37;24,1;130,4;M
314;83,64;22;126;F
315;79,56;18;112,95;M
316;83,77;21,9;124,2;M
317;87,52;22,9;128,05;F
318;81,11;20,3;119,5;M
319;83,41;19,3;117,5;F
320;85,84;22,8;127,45;F
321;87,12;17;109,85;F
322;79,76;19,8;118,85;F
323;81,83;21,7;124,3;F
324;84,46;19,2;116,5;F
325;88,34;19,7;117,7;F
326;78,21;18,4;113,2;M
327;85,28;19,4;116,3;F
328;88,64;22,9;126,15;F
329;78,54;18,4;113,55;F
330;85,15;22;123,55;F
331;85,71;24;128,95;F
332;84,92;24,7;129,85;M
333;80,68;21,4;121,9;F
334;79,5;20,4;119;F
335;87,81;24,2;128;M
336;81,83;18,7;113,35;F
337;87,88;20,6;117,8;M
338;85,48;21;118,85;M
339;88,21;21,4;119,5;M
340;82,78;22,7;124;F
341;80,65;20,2;117;F
342;79,3;18,7;111,95;M
343;86,01;20,6;117;M
344;82,39;21,8;121;F
345;89,36;24,5;127,05;M
346;81,47;21,3;119;M
347;83,8;19,4;113,95;F
348;82,16;21,5;120;F
349;82,92;21;117,95;M
350;87,81;24,5;127;M
351;81,83;26,6;132,7;M
352;82,06;21,6;120;F
353;80,81;22,5;122;M
354;83,84;23;123,15;M
355;85,02;17,6;108,05;F
356;81,76;24,4;127,4;F
357;85,15;22,5;122;F
358;79,86;19,4;113,6;F
359;80,78;18,5;110,45;M
360;89,52;24,7;127,4;F
361;84,72;21,5;118,7;M
362;86,99;26,9;133;F
363;88,83;22,9;122,05;M
364;87,75;20,3;114,8;M
365;88,64;23,5;123,75;F
366;81,07;20,1;114,85;F
367;77,98;23,5;124;M
368;84,03;22,6;121,5;F
369;88,14;24,4;125,5;M
370;87,88;21,7;118,8;F
371;87,32;24,5;126,15;F
372;87,09;21,8;118,95;F
373;82,26;22,6;121,45;F
374;88,37;26,1;129,5;M
375;79,63;21,9;119,25;M
376;81,27;24,3;125,6;F
377;79,43;21,9;119;M
378;88,04;23,1;121,55;M
379;83,05;30,4;140;F
380;87,78;21,2;116,2;M
381;78,81;22;119;M
382;85,41;22,6;120,3;F
383;79,82;21,7;117,75;M
384;88,7;25,6;127,2;F
385;82,16;24,4;124,45;M
386;79,76;23,8;123,1;M
387;86,89;25,4;126,55;M
388;78,9;20,5;114,2;M
389;85,71;29,6;136,6;F
390;79,86;20,9;115,15;M
391;88,37;20,6;113,65;M
392;87,09;22,1;117,75;M
393;86,04;25,9;127,5;M
394;82,82;23,4;121,5;M
395;89,13;22,8;119,35;F
396;85,15;20,7;114;M
397;84,66;20;112,1;M
398;81,86;23,6;122;M
399;88,96;26,1;127,6;M
400;83,9;22,5;118,8;F
401;84,62;23,3;120,8;F
402;88,87;22,5;118,35;F
403;87,09;24,8;124,3;M
404;88,77;25,4;125,5;F
405;80,75;26,6;129;F
406;88,08;24,2;122,3;F
407;79,43;23;120;M
408;79,79;24,2;123;M
409;81,8;19,8;111,1;M
410;84,07;23,3;120,25;M
411;78,71;22,2;117,7;M
412;83,84;26,1;127;F
413;81,63;23;119,3;M
414;87,58;26;126;F
415;85,38;24;121,1;F
416;89,88;25,6;124,9;M
417;79,86;26,1;127;M
418;78,87;20,3;111,7;F
419;83,38;23,8;120,85;M
420;81,7;23,4;119,45;F
421;88,8;26,1;125,75;M
422;82,19;24,5;122;F
423;83,24;27,2;128,35;M
424;79,86;23,4;119,2;M
425;81,01;24,6;122;M
426;82,75;26;124,6;F
427;78,64;25,8;125;M
428;81,53;26;124,6;F
429;82,16;31,7;138;M
430;82,92;25,2;122,4;F
431;89,46;28,7;130,45;M
432;82,49;21;111,45;F
433;82,95;22,5;115,95;M
434;82,42;24,5;120;F
435;80,52;25,5;122,6;F
436;89,82;24,1;117,75;F
437;83,57;26;122,9;F
438;89,79;24,2;118,5;M
439;79,23;24,6;120,5;M
440;86,1;26,8;124,45;M
